"","Nome","X","X.1","RT","Squadra.x","Kap.","X350K..8.","X350K..10.","X500K..8.","X500K..10.","M.V.","Pres.","Id","R","Squadra.y","Pg","Mv","Mf","Gf","Gs","Rp","Rc","R+","R-","Ass","Asf","Amm","Esp","Au"
"107","BONAVENTURA",556,NA,"
                        
                                                  C
                        

                        ","Fiorentina",19,20.48,20.62,19.42,24.33,NA,NA,"367","C","Milan","29","6.12","6.62","3","0","0","0","0","0","5","0","2","0","0"
"108","BONAZZOLI",557,NA,"
                        
                                                  A
                        

                        ","Torino",19,18.55,19.62,20.49,23.25,NA,NA,"505","A","Sampdoria","19","6.22","7.19","6","0","0","0","0","0","0","0","1","0","0"
"109","BONIFAZI",213,NA,"
                        
                                                  D
                        

                        ","Udinese",7,3.78,4.86,4.5,6.79,NA,NA,"2192","D","SPAL","17","5.56","5.85","2","0","0","0","0","0","0","0","2","0","0"
"110","BONINI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4944","D","Bologna","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","BONUCCI",485,NA,"
                        
                                                  D
                        

                        ","Juventus",16,18,18.58,20.06,22.89,NA,NA,"286","D","Juventus","35","6.27","6.4","3","0","0","0","0","0","0","0","9","0","0"
"112","BORGHETTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4410","P","Verona","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","BORINI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2187","C","Verona","16","5.97","6.43","2","0","0","1","1","0","0","0","2","1","0"
"114","BORJA VALERO",363,NA,"
                        
                                                  C
                        

                        ","Fiorentina",11,13.26,16.29,NA,5.6,NA,NA,"172","C","Inter","19","6.1","6.4","2","0","0","0","0","0","0","0","4","0","0"
"115","BOUAH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4481","D","Roma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","BOURABIA",281,NA,"
                        
                                                  C
                        

                        ","Sassuolo",9,NA,NA,NA,NA,NA,NA,"2825","C","Sassuolo","17","5.68","5.47","1","0","0","0","0","0","1","0","5","1","2"
"117","BOYE'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1981","A","Torino","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","BRAAF",115,NA,"
                        
                                                  A
                        

                        ","Udinese",4,NA,3.8,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","BRADARIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2854","C","Cagliari","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","BRANCOLINI",11,NA,"
                        
                                                  P
                        

                        ","Fiorentina",1,1.15,1.15,NA,0.46,NA,NA,"4351","P","Fiorentina","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","BREMER",549,NA,"
                        
                                                  D
                        

                        ","Torino",18,19.68,19.82,16.14,19.76,NA,NA,"2788","D","Torino","27","5.78","6","3","0","0","0","0","0","0","0","2","2","0"
"122","BRESCIANINI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4947","C","Milan","1","6","6","0","0","0","0","0","0","0","0","0","0","0"
"123","BREZA",52,NA,"
                        
                                                  P
                        

                        ","Bologna",1,NA,NA,NA,1.06,NA,NA,"4883","P","Bologna","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","BRIGNOLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2317","A","Sassuolo","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","BRLEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2314","C","Genoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","BROZOVIC",590,NA,"
                        
                                                  C
                        

                        ","Inter",24,26.57,32.44,20.92,26.46,NA,NA,"265","C","Inter","32","6.28","6.58","3","0","0","0","0","0","5","0","9","0","0"
"127","BRUGMAN",311,NA,"
                        
                                                  C
                        

                        ","Parma",10,NA,10.85,NA,5.3,NA,NA,"430","C","Parma","22","6","5.95","0","0","0","0","0","0","1","0","5","0","0"
"128","BRUNETTA",271,NA,"
                        
                                                  A
                        

                        ","Parma",9,NA,NA,NA,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","BRUNO ALVES",315,NA,"
                        
                                                  D
                        

                        ","Parma",10,11.47,11.96,12.52,12.78,NA,NA,"1864","D","Parma","33","5.97","5.91","0","0","0","0","0","0","0","0","4","0","0"
"130","BRUNO JORDAO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2332","C","Lazio","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","BRUNO PERES",438,NA,"
                        
                                                  D
                        

                        ","Roma",13,15.01,18.18,13.15,16.14,NA,NA,"546","D","Roma","16","6.03","6.47","2","0","0","0","0","0","2","0","3","0","0"
"132","BUFFON",148,NA,"
                        
                                                  P
                        

                        ","Juventus",6,2.45,3.52,2.7,3.77,NA,NA,"282","P","Juventus","9","6.11","5","0","10","0","0","0","0","0","0","0","0","0"
